email,username,staffNumber,jobTitle,departmentCode,specialization,role,password
william.ipd@hospital.com,wipd,STAFF-022,Ward Medical Officer,IPD,,PHYSICIAN,
patricia.ipd@hospital.com,pipd,STAFF-023,Ward Sister,IPD,,NURSE,
charles.ipd@hospital.com,cipd,STAFF-024,Ward Assistant,IPD,,STAFF,
joseph.male@hospital.com,jmale,STAFF-025,Male Ward Nurse,MALE-WARD,,NURSE,
margaret.male@hospital.com,mmale,STAFF-026,Ward Assistant,MALE-WARD,,STAFF,
christopher.male@hospital.com,cmale,STAFF-027,Healthcare Assistant,MALE-WARD,,STAFF,
barbara.female@hospital.com,bfemale,STAFF-028,Female Ward Nurse,FEMALE-WARD,,NURSE,
richard.female@hospital.com,rfemale,STAFF-029,Ward Nurse,FEMALE-WARD,,NURSE,
susan.female@hospital.com,sfemale,STAFF-030,Ward Assistant,FEMALE-WARD,,STAFF,
george.paeds@hospital.com,gpaeds,STAFF-031,Paediatric Nurse,PAEDIATRIC-WARD,Paediatrics,NURSE,
helen.paeds@hospital.com,hpaeds,STAFF-032,Paediatric Medical Officer,PAEDIATRIC-WARD,Paediatrics,PHYSICIAN,
frank.paeds@hospital.com,fpaeds,STAFF-033,Ward Assistant,PAEDIATRIC-WARD,,STAFF,
anthony.emergency@hospital.com,aemergency,STAFF-034,Emergency Physician,EMERGENCY,Emergency Medicine,PHYSICIAN,
stephanie.emergency@hospital.com,semergency,STAFF-035,Emergency Nurse,EMERGENCY,Emergency Care,NURSE,
paul.emergency@hospital.com,pemergency,STAFF-036,Emergency Medical Technician,EMERGENCY,,EMERGENCY_ACCESS,
dorothy.casualty@hospital.com,dcasualty,STAFF-037,Casualty Nurse,CASUALTY,,NURSE,
mark.casualty@hospital.com,mcasualty,STAFF-038,Trauma Officer,CASUALTY,Trauma Care,PHYSICIAN,
carol.casualty@hospital.com,ccasualty,STAFF-039,Casualty Assistant,CASUALTY,,STAFF,
steven.anc@hospital.com,sanc,STAFF-040,Midwife,ANC,Maternal Health,MIDWIFE,
betty.anc@hospital.com,banc,STAFF-041,ANC Nurse,ANC,Antenatal Care,NURSE,
andrew.anc@hospital.com,aanc,STAFF-042,Maternal Health Officer,ANC,,PHYSICIAN,
kimberly.maternity@hospital.com,kmaternity,STAFF-043,Senior Midwife,MATERNITY,Midwifery,MIDWIFE,
edward.maternity@hospital.com,ematernity,STAFF-044,Obstetric Nurse,MATERNITY,,NURSE,
michelle.maternity@hospital.com,mmaternity,STAFF-045,Maternity Assistant,MATERNITY,,STAFF,
ronald.labour@hospital.com,rlabour,STAFF-046,Labour Ward Midwife,LABOUR-WARD,Midwifery,MIDWIFE,
sandra.labour@hospital.com,slabour,STAFF-047,Delivery Nurse,LABOUR-WARD,,NURSE,
joshua.labour@hospital.com,jlabour,STAFF-048,Obstetric Officer,LABOUR-WARD,Obstetrics,PHYSICIAN,
laura.childwelfare@hospital.com,lchildwelfare,STAFF-049,Child Welfare Nurse,CHILD-WELFARE,Paediatrics,NURSE,
kenneth.childwelfare@hospital.com,kchildwelfare,STAFF-050,Immunization Officer,CHILD-WELFARE,,NURSE,
donna.childwelfare@hospital.com,dchildwelfare,STAFF-051,Healthcare Assistant,CHILD-WELFARE,,STAFF,
matthew.lab@hospital.com,mlab,STAFF-052,Chief Lab Scientist,LABORATORY,Clinical Laboratory,LAB_SCIENTIST,
ashley.lab@hospital.com,alab,STAFF-053,Lab Technician,LABORATORY,,LAB_TECHNICIAN,
jason.lab@hospital.com,jlab,STAFF-054,Lab Assistant,LABORATORY,,LAB_TECHNICIAN,
amanda.hemato@hospital.com,ahemato,STAFF-055,Haematology Scientist,LAB-HEMATOLOGY,Haematology,LAB_SCIENTIST,
justin.hemato@hospital.com,jhemato,STAFF-056,Haematology Technician,LAB-HEMATOLOGY,,LAB_TECHNICIAN,
melissa.hemato@hospital.com,mhemato,STAFF-057,Lab Assistant,LAB-HEMATOLOGY,,STAFF,
brandon.chem@hospital.com,bchem,STAFF-058,Chemistry Scientist,LAB-CHEMISTRY,Clinical Chemistry,LAB_SCIENTIST,
deborah.chem@hospital.com,dchem,STAFF-059,Chemistry Technician,LAB-CHEMISTRY,,LAB_TECHNICIAN,
nicholas.chem@hospital.com,nchem,STAFF-060,Lab Assistant,LAB-CHEMISTRY,,STAFF,
timothy.micro@hospital.com,tmicro,STAFF-061,Microbiology Scientist,LAB-MICROBIOLOGY,Microbiology,LAB_SCIENTIST,
rebecca.micro@hospital.com,rmicro,STAFF-062,Microbiology Technician,LAB-MICROBIOLOGY,,LAB_TECHNICIAN,
jeremy.micro@hospital.com,jmicro,STAFF-063,Lab Assistant,LAB-MICROBIOLOGY,,STAFF,
scott.radio@hospital.com,sradio,STAFF-064,Chief Radiographer,RADIOLOGY,Medical Imaging,RADIOGRAPHER,
theresa.radio@hospital.com,tradio,STAFF-065,Senior Radiographer,RADIOLOGY,,RADIOGRAPHER,
samuel.radio@hospital.com,saradio,STAFF-066,Radiography Assistant,RADIOLOGY,,STAFF,
christina.xray@hospital.com,cxray,STAFF-067,X-Ray Technician,XRAY,Radiography,RADIOGRAPHER,
raymond.xray@hospital.com,rxray,STAFF-068,X-Ray Operator,XRAY,,RADIOGRAPHER,
kathleen.xray@hospital.com,kxray,STAFF-069,Radiography Assistant,XRAY,,STAFF,
jonathan.ultrasound@hospital.com,jultrasound,STAFF-070,Sonographer,ULTRASOUND,Medical Sonography,RADIOGRAPHER,
julie.ultrasound@hospital.com,jultrasound2,STAFF-071,Ultrasound Technician,ULTRASOUND,,RADIOGRAPHER,
gary.ultrasound@hospital.com,gultrasound,STAFF-072,Imaging Assistant,ULTRASOUND,,STAFF,
nicole.pharmacy@hospital.com,npharmacy,STAFF-073,Chief Pharmacist,PHARMACY,Clinical Pharmacy,PHARMACIST,
adam.pharmacy@hospital.com,apharmacy,STAFF-074,Staff Pharmacist,PHARMACY,,PHARMACIST,
maria.pharmacy@hospital.com,mpharmacy,STAFF-075,Pharmacy Technician,PHARMACY,,PHARMACY_TECH,
jacob.opdpharm@hospital.com,jopdpharm,STAFF-076,OPD Pharmacist,PHARMACY-OPD,Dispensing,PHARMACIST,
alexis.opdpharm@hospital.com,aopdpharm,STAFF-077,Pharmacy Technician,PHARMACY-OPD,,PHARMACY_TECH,
zachary.opdpharm@hospital.com,zopdpharm,STAFF-078,Pharmacy Assistant,PHARMACY-OPD,,STAFF,
diana.ipdpharm@hospital.com,dipdpharm,STAFF-079,IPD Pharmacist,PHARMACY-IPD,Clinical Pharmacy,PHARMACIST,
nathan.ipdpharm@hospital.com,nipdpharm,STAFF-080,Pharmacy Technician,PHARMACY-IPD,,PHARMACY_TECH,
brittany.ipdpharm@hospital.com,bipdpharm,STAFF-081,Pharmacy Assistant,PHARMACY-IPD,,STAFF,
eric.dental@hospital.com,edental,STAFF-082,Dental Officer,DENTAL,Dentistry,PHYSICIAN,
evelyn.dental@hospital.com,evdental,STAFF-083,Dental Nurse,DENTAL,,NURSE,
kyle.dental@hospital.com,kdental,STAFF-084,Dental Assistant,DENTAL,,STAFF,
katherine.eye@hospital.com,keye,STAFF-085,Ophthalmic Nurse,EYE-CLINIC,Ophthalmology,NURSE,
walter.eye@hospital.com,weye,STAFF-086,Eye Clinic Officer,EYE-CLINIC,,PHYSICIAN,
christine.eye@hospital.com,ceye,STAFF-087,Clinic Assistant,EYE-CLINIC,,STAFF,
harold.physio@hospital.com,hphysio,STAFF-088,Physiotherapist,PHYSIOTHERAPY,Physiotherapy,PHYSIOTHERAPIST,
alice.physio@hospital.com,aphysio,STAFF-089,Physiotherapy Assistant,PHYSIOTHERAPY,,STAFF,
russell.physio@hospital.com,rphysio,STAFF-090,Rehabilitation Aide,PHYSIOTHERAPY,,STAFF,
sean.ent@hospital.com,sent,STAFF-091,ENT Nurse,ENT,Otolaryngology,NURSE,
olivia.ent@hospital.com,oent,STAFF-092,ENT Medical Officer,ENT,ENT Surgery,PHYSICIAN,
terry.ent@hospital.com,tent,STAFF-093,Clinic Assistant,ENT,,STAFF,
eugene.surgical@hospital.com,esurgical,STAFF-094,Surgical Officer,SURGICAL-OPD,General Surgery,SURGEON,
gloria.surgical@hospital.com,gsurgical,STAFF-095,Surgical Nurse,SURGICAL-OPD,,NURSE,
arthur.surgical@hospital.com,asurgical,STAFF-096,Surgical Assistant,SURGICAL-OPD,,STAFF,
lawrence.theatre@hospital.com,ltheatre,STAFF-097,Theatre Nurse,THEATRE,Perioperative Care,NURSE,
denise.theatre@hospital.com,dtheatre,STAFF-098,Anesthetist,THEATRE,Anesthesiology,ANESTHETIST,
bobby.theatre@hospital.com,btheatre,STAFF-099,Theatre Assistant,THEATRE,,STAFF,
ann.minortheatre@hospital.com,aminor,STAFF-100,Minor Theatre Nurse,MINOR-THEATRE,,NURSE,
randy.minortheatre@hospital.com,rminor,STAFF-101,Surgical Officer,MINOR-THEATRE,Minor Surgery,SURGEON,
phyllis.minortheatre@hospital.com,pminor,STAFF-102,Theatre Assistant,MINOR-THEATRE,,STAFF,
jack.nhis@hospital.com,jnhis,STAFF-103,NHIS Officer,NHIS-OFFICE,,ADMIN_OFFICER,
ruby.nhis@hospital.com,rnhis,STAFF-104,NHIS Claims Officer,NHIS-OFFICE,,BILLING_CLERK,
gerald.nhis@hospital.com,gnhis,STAFF-105,NHIS Assistant,NHIS-OFFICE,,STAFF,
albert.billing@hospital.com,abilling,STAFF-106,Billing Officer,BILLING,,BILLING_CLERK,
jean.billing@hospital.com,jbilling,STAFF-107,Accounts Clerk,BILLING,,BILLING_CLERK,
johnny.billing@hospital.com,jobilling,STAFF-108,Billing Assistant,BILLING,,STAFF,
doris.admin@hospital.com,dadmin,STAFF-109,Hospital Administrator,ADMIN,,ADMIN_OFFICER,
jerry.admin@hospital.com,jadmin,STAFF-110,Administrative Officer,ADMIN,,ADMIN_OFFICER,
frances.admin@hospital.com,fadmin,STAFF-111,Admin Assistant,ADMIN,,STAFF,
